Годы;Год. доб. нефти, тыс.т;Нак. доб. нефти, тыс.т;Год. доб. воды, тыс.т;Нак. доб. воды, тыс.т;Год. доб. газа, млн.м3;Нак. доб. газа, млн.м3;Дебит нефти, т/сут;Дебит воды, т/сут;Дебит жидк., т/сут;Обводнен-ность, %;по нефти;по жидкости;Пласт. давление, МПа;Забойное давление, МПа;Туст, 0С
1;2,86;2,86;10,33;10,33;0,32;0,32;7,99;28,87;36,86;78,31;112,56;24,41;16,85;5,00;24,43
2;2,66;5,52;7,95;18,28;0,30;0,62;7,43;22,23;29,66;74,96;112,14;28,08;16,09;5,00;20,83
3;2,45;7,97;7,20;25,47;0,27;0,89;6,86;20,12;26,98;74,57;111,69;28,41;15,59;5,00;19,49
4;2,22;10,20;6,68;32,15;0,25;1,14;6,22;18,66;24,88;75,01;110,72;27,67;15,17;5,00;18,44
5;2,01;12,21;6,30;38,45;0,22;1,36;5,62;17,61;23,23;75,80;109,57;26,51;14,84;5,00;17,62
6;1,80;14,00;5,97;44,42;0,19;1,56;5,03;16,69;21,72;76,85;108,35;25,08;14,55;5,00;16,86
7;1,61;15,61;5,71;50,13;0,17;1,73;4,50;15,97;20,47;78,03;107,09;23,53;14,31;5,00;16,24
8;1,43;17,05;5,50;55,63;0,15;1,88;4,01;15,37;19,38;79,31;105,85;21,90;14,09;5,00;15,69
9;1,28;18,32;5,32;60,95;0,13;2,01;3,57;14,88;18,45;80,68;104,71;20,23;13,90;5,00;15,22
10;1,13;19,45;5,14;66,10;0,12;2,13;3,16;14,38;17,55;81,97;103,66;18,69;13,72;5,00;14,77
11;1,01;20,47;5,00;71,10;0,10;2,23;2,83;13,98;16,81;83,15;102,71;17,31;13,56;5,00;14,40
12;0,91;21,37;4,87;75,97;0,09;2,33;2,54;13,61;16,15;84,28;101,79;16,00;13,41;5,00;14,08
13;0,81;22,19;4,77;80,74;0,08;2,41;2,27;13,33;15,61;85,43;100,92;14,71;13,27;5,00;13,80
14;0,72;22,91;4,65;85,39;0,07;2,48;2,03;13,01;15,04;86,53;100,13;13,49;13,14;5,00;13,52
15;0,65;23,56;4,56;89,95;0,06;2,55;1,81;12,75;14,57;87,54;99,41;12,38;13,02;5,00;13,28
16;0,58;24,14;4,48;94,43;0,06;2,60;1,62;12,51;14,13;88,53;98,76;11,32;12,90;5,00;13,07
17;0,52;24,66;4,41;98,84;0,05;2,65;1,46;12,33;13,79;89,43;98,17;10,38;12,80;5,00;12,89
18;0,47;25,13;4,32;103,16;0,05;2,70;1,30;12,09;13,39;90,26;97,62;9,51;12,70;5,00;12,70
19;0,42;25,55;4,26;107,42;0,04;2,74;1,17;11,90;13,07;91,04;97,13;8,70;12,61;5,00;12,53
20;0,38;25,93;4,32;111,73;0,04;2,78;1,06;12,07;13,13;91,93;96,68;7,80;12,71;5,00;12,56
21;0,34;26,27;4,51;116,25;0,03;2,81;0,96;12,62;13,59;92,90;96,33;6,84;12,66;5,00;12,79
22;0,31;26,58;4,47;120,72;0,03;2,84;0,87;12,51;13,38;93,50;96,02;6,24;12,59;5,00;12,69
23;0,28;26,86;4,43;125,15;0,03;2,87;0,79;12,39;13,18;94,04;95,80;5,71;12,53;5,00;12,59
24;0,26;27,12;4,39;129,54;0,02;2,89;0,72;12,27;12,99;94,49;95,61;5,27;12,46;5,00;12,49
25;0,23;27,35;4,36;133,90;0,02;2,91;0,65;12,18;12,83;94,90;95,46;4,87;12,39;5,00;12,42
26;0,21;27,57;4,30;138,20;0,02;2,93;0,59;12,02;12,62;95,29;95,36;4,49;12,32;5,00;12,31
27;0,19;27,76;4,26;142,46;0,02;2,95;0,54;11,90;12,45;95,64;95,30;4,16;12,25;5,00;12,22
28;0,18;27,94;4,22;146,67;0,02;2,97;0,50;11,79;12,28;95,96;95,29;3,85;12,18;5,00;12,14
29;0,16;28,10;4,19;150,86;0,02;2,99;0,46;11,70;12,16;96,24;95,31;3,59;12,12;5,00;12,08
30;0,15;28,25;4,14;155,00;0,01;3,00;0,42;11,56;11,98;96,47;95,34;3,37;12,05;5,00;11,99
